,x,y,z,radius,angle,tier
CDE,-3.878844446616136,1.1166554700875693,3.6104702921958856,4.0363787830085185,2.861288608898227,4.0
CD,-3.2727469915738894,-0.5202212925611974,4.895507050825973,3.3138350991094874,-2.9839559381365945,1.0
CE,-2.628857459128457,0.7586538468743799,3.519892439809854,2.7361372772199535,2.8606391935236823,2.0
EB,-1.13497519228024,-0.199643066967365,2.7942459415333807,1.1524001220408229,-2.967473068910284,3.0
EA,0.9421100695724085,0.6676321257770435,2.810954546771931,1.1546878533003204,0.6165118888815182,3.0
DA,-0.5532755104937069,-1.0148238792417097,2.8199366405445767,1.1558465713022918,-2.0699419356427664,3.0
DG,0.06417104326804157,1.149521489162859,2.7866564470607464,1.1513112423846583,1.5150300720832424,3.0
DF,-1.058872253438829,2.525107695553893,3.510259031051331,2.738134277797222,1.9678609944096348,2.0
EF,0.14301150960000694,3.322969165007707,4.874511447338669,3.326045153552503,1.527785602081104,1.0
F,1.1470760300452656,2.267795560488028,6.491029410207954,2.5413933428089432,1.102510700131771,0.0
DE,-2.490037697439454,2.223511415632382,4.853091863043682,3.338306569222949,2.4126790549805155,1.0
C,-2.0983072017333098,-1.3837190104144108,6.510932895408332,2.5134779514903465,-2.5586060715703502,0.0
DB,-2.227001651376353,-1.5696364591344512,3.5733794624462445,2.724572437847293,-2.527638763165391,2.0
CB,-1.615771689962239,-2.8420765246622435,4.969808366710432,3.269268591920775,-2.087745574616588,1.0
CA,-0.1559717832522424,-2.706534974888469,3.6307571325845043,2.711025408856474,-1.628360507114821,2.0
EG,1.3007445516142713,2.3995959510325062,3.551772762628908,2.729468284623547,1.0740632125824263,2.0
CG,0.4469309573806006,-1.0679989856814096,2.8380880150249665,1.1577431123015416,-1.1744653032894743,3.0
CF,-0.8601687471437538,0.7635112891419211,2.7795441286971996,1.1501477132134,2.415654186442439,3.0
D,-2.467980565061588,0.758240026917138,6.461565355223097,2.581831909311878,2.843515228190279,0.0
E,-1.0236671736763903,2.383340967690011,6.452691599961108,2.593879074037987,1.9764802059131628,0.0
G,2.409594451013108,0.4986598248557174,6.54769929756528,2.4606517509144394,0.2040669463146221,0.0
A,1.813216617362328,-1.5918930601809176,6.580003538273649,2.4128568164172215,-0.7204919804651371,0.0
B,-0.19300045622731893,-2.4296518367692856,6.563628267530506,2.4373053202297648,-1.6500653149489963,0.0
FG,2.6436070293573484,1.9502918241842073,4.943732128301941,3.28516305914141,0.6356077327041347,1.0
FA,2.6730485261668298,0.47648092130728437,3.613436137372263,2.715183693898536,0.17640097672133032,2.0
FB,1.112429187263662,-0.3192923364712622,2.8340778022753548,1.157344500486078,-0.27950882976170205,3.0
AB,1.2331764386370527,-2.9937256270794963,5.020141235696794,3.2377642377174545,-1.1800562299046162,1.0
GB,2.024783817282898,-1.7959010570655984,3.6486283532428154,2.706475588934812,-0.7255634598137418,2.0
GA,3.1288155542712355,-0.8608949833150009,5.008576823990378,3.245092748281096,-0.268506070439869,1.0
CDF,-2.575254470758205,1.5376887601656715,1.8505123098135878,2.9994036594463176,2.6033069992915565,5.0
DFB,-1.5197177049970443,0.38792454157830353,0.005826319705826588,1.5684474338785537,2.8916686970333787,8.0
DFA,0.8334601301372229,1.3704938527019885,0.024942883464172283,1.6040290486217188,1.0244087599001415,8.0
EFA,2.1144415675351165,2.1601067787339745,1.9156137114127056,3.0227345960326764,0.7960808064276026,5.0
EFB,0.10738411151190656,1.4221494573544058,1.1625293240661965,1.4261978917592861,1.4954310249531744,7.0
EGB,1.6553196257923644,0.21898126370397702,0.06182841153614316,1.6697412546220338,0.13152570768466443,8.0
DGB,-0.0388098928504482,-1.6870612155075386,0.07218420148043991,1.6875075563246633,-1.5937967067150411,8.0
DGA,1.4333261191224214,-0.4357159909170187,1.221829153059111,1.4980895128460585,-0.2951127919926553,7.0
EGA,2.761297122412417,1.2537038955417874,1.9445475322481958,3.0325789776920478,0.4261978653319241,6.0
FGA,3.9500560817330777,0.700013622190307,3.7487076633326057,4.011603435047944,0.17539512470558782,4.0
DAB,-0.9264103535754993,-2.895405393860522,1.96705918959498,3.0400014042773873,-1.8804618722713013,5.0
CAB,-0.227332601446239,-4.0,3.7741951328354317,4.006454805895147,-1.6275684049801824,4.0
FAB,2.72386790964585,-1.3711721261040464,1.9970792701128175,3.0495195340582986,-0.4663571773794789,6.0
CFA,1.267087311604882,-1.141874495014607,0.0829548524242183,1.7056927090173515,-0.7334669804139973,8.0
CFB,-0.673624504722217,-1.3154829330685036,1.2049286200914755,1.4779260199877278,-2.044056351988121,7.0
CEB,-2.818471325866396,-1.076158396887548,1.899220473193717,3.0169351186133677,-2.776853256466508,5.0
CDB,-3.2854975107823163,-2.321284493878634,3.689678189824673,4.02279201486706,-2.5265012373523836,4.0
DEB,-3.007879644237009,0.021220549266298457,1.873817666188529,3.007954498646301,3.134537784473424,6.0
CEA,-1.2790694357347805,-1.006331287335167,0.03789599656721521,1.6274892568925132,-2.4749720555835313,8.0
CDA,-1.902619524989543,-2.359552639970047,1.9401396911384383,3.0310806187993506,-2.2493957687284594,6.0
CDG,-1.4094220853476929,-0.28441004453948093,1.1717342148068104,1.4378315923990503,-2.9424746509109307,7.0
CFG,1.2178393635213542,0.8125451725455093,1.1933203262229637,1.4640226681199675,0.5883733055096544,7.0
CEG,-0.5795275232995265,1.4456732105005181,0.0,1.5575054355669384,1.9520527788400004,8.0
DEG,-0.37996163978891134,2.978012943333513,1.8575503699925957,3.0021545493816624,1.6976996553089243,5.0
DEF,-1.5605839784299633,3.7249729677826333,3.596134673717864,4.03866883569867,1.967532926949408,4.0
EFG,1.9235715122812602,3.5395297124019094,3.657735118970463,4.028448578278734,1.0729927381401154,4.0
DFG,0.7322543594923864,2.9188132804203097,1.8773907246635797,3.0092635997787855,1.324995245848489,6.0
FGB,3.0294207116227434,-0.3001464404685038,1.9805765871598677,3.0442532308818793,-0.09875487933021261,5.0
CGA,1.6761256943198646,-2.5499849881270906,2.0034625918322257,3.051527614627265,-0.989300771064863,5.0
CGB,0.6482766590509866,-2.9791897681272888,1.9950919050520959,3.048907066669077,-1.3565347825094372,6.0
GAB,2.99281065602586,-2.655444259515757,3.800582248364523,4.00103734526649,-0.7257397267593712,4.0
EAB,0.5915444493773717,-1.3827555389747037,1.2270499725502853,1.5039739745601988,-1.1665554503161535,7.0
CEF,-1.8352586044990755,2.370266065458587,1.8459168818274054,2.997721695963857,2.2296587866454955,6.0
DEA,-1.0618795472933706,0.9339194593369354,1.1527528379450227,1.4141406328538075,2.4202215709104227,7.0
