,x,y,z,tier,radius,angle
CDE,14.878019,2.8416786,19.314175,4.0,15.146967,0.18872543
CD,12.274408,9.049152,23.373154,1.0,15.249533,0.6352829
C,4.726076,8.927477,29.819761,0.0,10.101269,1.0839176
D,9.97052,1.9311409,29.927198,0.0,10.155815,0.1913162
E,7.7061768,-6.384183,29.998312,0.0,10.007145,-0.6918494
F,-0.4837885,-9.894689,29.982166,0.0,9.906508,-1.6196512
G,-8.292738,-5.8102264,29.898314,0.0,10.125623,-2.530437
A,-9.897496,2.7316132,29.80532,0.0,10.267529,2.8723059
B,-4.1813583,9.256163,29.766758,0.0,10.156786,1.9950944
DB,6.6443253,12.446903,13.023878,2.0,14.109304,1.0804652
EB,5.1815853,3.7187157,3.5245864,3.0,6.377905,0.6224929
FB,-6.269088,-1.2466211,3.5659914,3.0,6.391833,-2.945301
FA,-11.507523,-8.3768635,13.165562,2.0,14.233584,-2.5123556
FG,-7.2459755,-13.29438,23.440102,1.0,15.140829,-2.069824
EG,-0.5319748,-14.058914,13.240731,2.0,14.068975,-1.6086173
DG,2.625,-5.819439,3.5849698,3.0,6.3840814,-1.1470493
CG,-4.862932,4.0647793,3.4854548,3.0,6.338023,2.4453592
CA,-5.756031,12.892967,12.969767,2.0,14.119508,1.9906919
CB,0.50297356,15.140308,23.211138,1.0,15.148661,1.5375878
CE,14.061554,2.6503735,13.231174,2.0,14.30915,0.18629806
CF,6.260891,-1.6320591,3.6330233,3.0,6.4701138,-0.2550004
GB,-13.813972,3.6343727,13.076715,2.0,14.284064,2.8843288
AB,-11.654566,9.909306,23.235115,1.0,15.297818,2.4369528
DA,0.21091843,6.267685,3.4209132,3.0,6.2712326,1.5371573
GA,-15.118714,-2.7573185,23.33502,1.0,15.368094,-2.9611974
EA,-2.9691467,-5.6663303,3.51674,3.0,6.397119,-2.0534577
DF,10.875322,-9.131325,13.3132515,2.0,14.200483,-0.69844705
DE,14.843349,-3.7864027,23.499302,1.0,15.318677,-0.24976428
EF,6.123579,-13.752945,23.546932,1.0,15.054625,-1.1518947
DEB,9.594349,7.045101,6.161767,6.0,11.90315,0.63337517
CEB,9.714363,6.88381,6.2676787,5.0,11.90612,0.61648905
CDB,7.0202446,13.2186775,19.14055,4.0,14.967206,1.0825908
CDA,0.2938261,11.746578,6.1265244,6.0,11.750253,1.5457878
DAB,0.49873543,11.739473,6.0380507,5.0,11.750063,1.5283382
CAB,-6.111067,13.690323,19.063984,4.0,14.992334,1.9906346
CGB,-9.158094,7.5489864,6.1657267,6.0,11.868357,2.4522114
CGA,-9.030872,7.7008095,6.0723224,5.0,11.868408,2.4355214
DGA,-1.6930218,-0.38726997,0.0022533513,7.0,1.73675,-2.9167168
DGB,-2.1952515,4.910015,0.43272483,8.0,5.378418,1.9912332
DFB,5.4672203,0.96328354,0.52848756,8.0,5.5514336,0.17440255
CFB,0.11291695,1.6578712,0.07973618,7.0,1.6617122,1.5027918
CDG,1.4375114,0.96873665,0.04719936,7.0,1.7334619,0.5929925
CDF,11.596874,-3.112671,6.315608,5.0,12.0073395,-0.26222557
DEA,1.71175,-0.51608753,0.015715279,7.0,1.7878575,-0.29282963
DFA,-0.15774918,-5.4907045,0.5347233,8.0,5.49297,-1.5995187
EGB,-4.4014416,-3.2965326,0.51749134,8.0,5.499074,-2.4987533
EFB,0.7448778,-1.6389132,0.08670069,7.0,1.8002442,-1.1442107
CEF,11.648117,-2.920291,6.403494,6.0,12.008611,-0.2456461
CEG,4.234165,-3.5791626,0.58213377,8.0,5.5442367,-0.70176226
CFG,-0.76272106,-1.5681152,0.10134737,7.0,1.7437686,-2.0234997
FGB,-11.762791,-2.128027,6.277013,5.0,11.953733,-2.9626167
FGA,-12.218501,-8.832929,19.266396,4.0,15.076883,-2.515653
EGA,-5.501318,-10.516783,6.21743,6.0,11.86875,-2.0527518
EFA,-5.643797,-10.440792,6.2282085,5.0,11.868554,-2.0663574
EFG,-0.580843,-14.856494,19.371227,4.0,14.867845,-1.6098733
DFG,4.952614,-10.761212,6.3991685,6.0,11.846184,-1.1394693
DEG,4.762785,-10.850104,6.3064485,5.0,11.849425,-1.1571593
DEF,11.501312,-9.64393,19.418549,4.0,15.009517,-0.6977838
CEA,2.590601,4.733158,0.47478202,8.0,5.395739,1.070005
CFA,-5.2930765,1.3290901,0.49325264,8.0,5.457393,2.895579
GAB,-14.657391,3.8799458,19.148132,4.0,15.162226,2.8828187
FAB,-11.716335,-2.3667316,6.2683306,6.0,11.952989,-2.9422722
EAB,-1.2973919,1.0396843,0.0140996985,7.0,1.662579,2.46602
