,x,y,z,tier,radius,angle
CDE,-14.579362,4.0540257,19.057867,4.0,15.132512,2.8703783
CD,-15.140829,-2.6148548,23.209827,1.0,15.364965,-2.9705772
CE,-13.716148,3.8248692,12.973286,2.0,14.239465,2.8696425
EB,-6.22715,-1.1173973,3.4988675,3.0,6.326608,-2.9640427
EA,5.242119,3.6509,3.6517403,3.0,6.3881826,0.6083428
DA,-3.0329704,-5.5547047,3.5131426,3.0,6.3287954,-2.0705774
DG,0.353796,6.336996,3.4845467,3.0,6.3468647,1.515024
DF,-5.5208282,13.009462,13.023664,2.0,14.132433,1.9721334
EF,0.67701244,15.1383,23.31813,1.0,15.153431,1.5261043
F,4.7153416,8.8381405,29.914188,0.0,10.0173435,1.0806922
DE,-11.56992,9.983423,23.196705,1.0,15.281747,2.4296699
C,-8.430316,-5.770382,29.782764,0.0,10.216043,-2.541359
DB,-11.61492,-8.188265,13.0406885,2.0,14.211054,-2.5275335
CB,-7.4713097,-13.189846,23.321709,1.0,15.158909,-2.0861769
CA,-0.7604847,-14.037557,13.137257,2.0,14.058141,-1.6249185
EG,6.809782,12.37459,13.208676,2.0,14.124575,1.06772
CG,2.5447598,-5.8433743,3.5326273,3.0,6.373447,-1.1600701
CF,-4.7344313,4.198715,3.4521012,3.0,6.328037,2.4160922
D,-9.914755,2.7113628,29.741907,0.0,10.278806,2.874652
E,-4.021101,9.283464,29.798332,0.0,10.116915,1.9795469
G,9.895128,1.6944637,29.998306,0.0,10.039162,0.16959724
A,7.4953213,-6.594469,29.984337,0.0,9.983329,-0.72154856
B,-0.72037315,-9.962936,29.887897,0.0,9.988946,-1.642976
FG,12.39929,8.786095,23.502007,1.0,15.19664,0.61647224
FA,14.061522,2.382162,13.336018,2.0,14.261875,0.16781665
FB,6.252987,-1.7357388,3.6081338,3.0,6.4894247,-0.27076837
AB,5.790598,-13.901449,23.479643,1.0,15.05926,-1.1761078
GB,10.675829,-9.344602,13.276854,2.0,14.187843,-0.7190024
GA,14.669861,-4.158724,23.547676,1.0,15.247944,-0.2762398
CDF,-8.811864,7.9077206,6.145651,5.0,11.839806,2.4102187
DFB,-5.1987,1.4619389,0.47214496,8.0,5.4003468,2.86746
DFA,2.7124424,4.7563457,0.5407668,8.0,5.4754148,1.0525175
EFA,9.815802,6.747633,6.4251814,5.0,11.911361,0.6022368
EFB,0.19045258,1.6877728,0.08312883,7.0,1.6984843,1.4584291
EGB,5.4996357,0.91577435,0.5994145,8.0,5.57536,0.16500156
DGB,-0.21382713,-5.4205685,0.5289205,8.0,5.424784,-1.6102233
DGA,1.7373047,-0.46478653,0.06837182,7.0,1.7984033,-0.26141113
EGA,9.667557,6.9497185,6.418023,6.0,11.906311,0.62327856
FGA,14.855913,2.5446854,19.434692,4.0,15.072279,0.1696447
DAB,-5.8209248,-10.280397,6.2329245,5.0,11.813964,-2.086004
CAB,-0.8605671,-14.85845,19.25627,4.0,14.88335,-1.6286494
FAB,11.578491,-3.1661024,6.3349915,6.0,12.003569,-0.26692173
CFA,4.2099953,-3.6209707,0.5360916,8.0,5.5529714,-0.71032214
CFB,-0.7331219,-1.5243149,0.037568,7.0,1.6914501,-2.0190895
CEB,-11.733746,-1.9729004,6.0662603,5.0,11.89845,-2.9750118
CDB,-12.347334,-8.6685505,19.10984,4.0,15.0864315,-2.5294864
DEB,-11.69579,-2.1670074,6.1602845,6.0,11.894849,-2.9583893
CEA,-4.4053307,-3.185275,0.45453548,8.0,5.4362593,-2.5155637
CDA,-5.6438446,-10.380085,6.133313,6.0,11.815208,-2.068804
CDG,-1.6444874,-0.2896328,0.0022769598,7.0,1.6697981,-2.967257
CFG,1.5046024,0.99435616,0.02818001,7.0,1.803489,0.5839832
CEG,-2.0585747,5.005579,0.45562714,8.0,5.4123516,1.9609684
DEG,0.7185488,11.793085,6.1510005,5.0,11.814956,1.5099419
DEF,-5.9031687,13.776556,19.12133,4.0,14.988025,1.9756225
EFG,7.1951237,13.108778,19.305454,4.0,14.95359,1.0688148
DFG,0.5621853,11.805609,6.1410046,6.0,11.818987,1.5232121
FGB,11.531736,-3.3156977,6.330141,5.0,11.99895,-0.2799757
CGA,4.5850353,-10.907327,6.2368383,5.0,11.831835,-1.1728599
CGB,4.7737904,-10.824783,6.330241,6.0,11.830681,-1.1554472
GAB,11.264185,-9.891254,19.388767,4.0,14.9906225,-0.7205917
EAB,0.7514591,-1.6146545,0.09790784,7.0,1.7809548,-1.1352104
CEF,-8.973121,7.7227077,6.1461906,6.0,11.838797,2.4309487
DEA,-1.2383347,1.1219053,0.05341191,7.0,1.670971,2.405484
